study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Hamlin_et_al_2007;1;1;185;young;2007;yes;yes;North_America;help_hinder;live_show;real;Other;reach;shapes;12;12;;;;
Hamlin_et_al_2007;1;2;296;young;2007;yes;yes;North_America;help_hinder;live_show;real;Other;reach;shapes;14;16;;;;
Dunfield_Kuhlmeier_2010;2;1;634;old;2010;yes;no;North_America;help_hinder;live_show;real;No;help;experimenters;12;16;;;;
Hamlin_et_al_2010;3;1;104;young;2010;yes;yes;North_America;help_hinder;live_show;real;No;visual;shapes;10;12;;13.12;6.22;2.21
Geraci_Surian_2011;4;1;323;young;2011;yes;no;Europe;fair_unfair;movies;cartoon;Other;reach;shapes;9;16;;;;
Geraci_Surian_2011;4;2;480;old;2011;yes;no;Europe;fair_unfair;movies;cartoon;Other;reach;shapes;14;17;;;;
Hamlin_Wynn_2011;5;1;154;young;2011;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;13;18;;;;
Hamlin_Wynn_2011;5;2;267;young;2011;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;12;16;;;;
Hamlin_Wynn_2011;5;3;109;young;2011;yes;yes;North_America;give_take;live_show;real;No;visual;puppets;11;12;;14.29;2.91;4.06
Hamlin_Wynn_2011;5;4;147;young;2011;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;10;12;;;;
Hamlin_et_al_2011;6;1;150;young;2011;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;12;16;;;;
Hamlin_et_al_2011;6;2;240;young;2011;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;12;16;;;;
Hamlin_et_al_2011;6;3;241;young;2011;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;13;16;;;;
Hamlin_et_al_2011;6;4;585;old;2011;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;25;32;;;;
Hamlin_et_al_2011;6;5;627;old;2011;yes;yes;North_America;give_take;live_show;real;Other;help;puppets;13;16;;;;
Scarf_et_al_2012;7;1;297;young;2012;yes;no;Oceania;help_hinder;live_show;real;Other;reach;shapes;12;16;;;;
Scarf_et_al_2012;7;2;295;young;2012;yes;no;Oceania;help_hinder;live_show;real;Other;reach;shapes;4;16;;;;
Scarf_et_al_2012;7;3;295;young;2012;yes;no;Oceania;help_hinder;live_show;real;Other;reach;shapes;8;16;;;;
Dahl_et_al_2013;8;1;528;old;2013;yes;no;North_America;give_take;live_show;real;No;help;experimenters;4;10;;;;
Dahl_et_al_2013;8;2;660;old;2013;yes;no;North_America;give_take;live_show;real;No;help;experimenters;9;12;;;;
Dahl_et_al_2013;8;3;783;old;2013;yes;no;North_America;give_take;live_show;real;No;help;experimenters;11;12;;;;
Hamlin_2013;9;1;148;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;10;16;;;;
